Set Name,PG File Path,Topic,Used,Original Path
Week1,Reorganized/Orientation/prob01.pg,Orientation,1,setOrientation/prob01.pg
Week1,Reorganized/Orientation/prob02.pg,Orientation,1,setOrientation/prob02.pg
Week1,Reorganized/Orientation/prob03.pg,Orientation,1,setOrientation/prob03.pg
Week1,Reorganized/Orientation/prob04/prob04.pg,Orientation,1,setOrientation/prob04.pg
Week1,Reorganized/Orientation/prob05.pg,Orientation,1,setOrientation/prob05/prob05.pg
Week1,Reorganized/Orientation/prob06.pg,Orientation,1,setOrientation/prob06.pg
Week1,Reorganized/Orientation/prob07.pg,Orientation,1,setOrientation/prob07.pg
Week1,Reorganized/Orientation/prob08.pg,Orientation,1,setOrientation/prob08.pg
Week1,Reorganized/Orientation/prob09.pg,Orientation,1,setOrientation/prob09.pg
Week1,Reorganized/Orientation/prob10.pg,Orientation,1,setOrientation/prob10.pg
Week1,Reorganized/Orientation/prob11.pg,Orientation,1,setOrientation/prob11.pg
Week1,Reorganized/Orientation/prob12.pg,Orientation,1,setOrientation/prob12.pg
Week1,Reorganized/Orientation/prob13.pg,Orientation,1,setOrientation/prob13.pg
Week1,Reorganized/Orientation/prob14/prob14.pg,Orientation,1,setOrientation/prob14/prob14.pg
Week1,Reorganized/Orientation/prob15.pg,Orientation,1,setOrientation/prob15.pg
Week1,Reorganized/EventSpace/event_tree_1.pg,Event Space,1,local/setBasicExamples/event_tree_1.pg
Week1,Reorganized/EventSpace/event_tree_2.pg,Event Space,1,local/setBasicExamples/event_tree_2.pg
Week1,Reorganized/EventSpace/event_tree_3.pg,Event Space,1,local/setBasicExamples/event_tree_3.pg
Week1,Reorganized/EventSpace/event_tree_4.pg,Event Space,1,local/setBasicExamples/event_tree_4.pg
Week1,Reorganized/EventSpace/event_tree_5.pg,Event Space,1,local/setBasicExamples/event_tree_5.pg
Week1,Reorganized/EventSpace/event_tree_6.pg,Event Space,1,local/setBasicExamples/event_tree_6.pg
Week2,Reorganized/Sets/BasicSets_1.pg,Sets,1,setCombinatorics/BasicSets_1.pg
Week2,Reorganized/Sets/BasicSets_2.pg,Sets,0,setCombinatorics/BasicSets_2.pg
Week2,Reorganized/Sets/BasicSets_3.pg,Sets,0,setCombinatorics/BasicSets_3.pg
Week2,Reorganized/Sets/q2.pg,Sets,1,yuncong_class0/q2.pg
Week2,Reorganized/Sets/BasicSets1.pg,Sets,1,setCombinatorics/BasicSets1.pg
Week2,Reorganized/Sets/ClassSize.pg,Sets,1,setCombinatorics/ClassSize.pg
Week2,Reorganized/Combinatorics/p10.pg,Combinatorics,1,local/setCombinatorics/p10.pg
Week2,Reorganized/Combinatorics/sw10_2_14_PGML.pg,Combinatorics,1,local/Library/ASU-topics/setCount/sw10_2_14_PGML.pg
Week2,Reorganized/Combinatorics/p11.pg,Combinatorics,0,local/setCombinatorics/p11.pg
Week2,Reorganized/Combinatorics/sw10_1_33.pg,Combinatorics,0,local/Library/ASU-topics/setCount/sw10_1_33.pg
Week2,Reorganized/Combinatorics/sw10_1_7.pg,Combinatorics,0,local/Library/ASU-topics/setCount/sw10_1_7.pg
Week2,Reorganized/Combinatorics/p12.pg,Combinatorics,1,local/Library/ASU-topics/setCount/p12.pg
Week2,Reorganized/Combinatorics/sw10_1_21_pgml.pg,Combinatorics,1,local/Library/ASU-topics/setCount/sw10_1_21_pgml.pg
Week2,Reorganized/Combinatorics/sw10_2_22.pg,Combinatorics,0,Library/ASU-topics/setCount/sw10_2_22.pg
Week2,Reorganized/Combinatorics/sw10_2_52.pg,Combinatorics,1,Library/ASU-topics/setCount/sw10_2_52.pg
Week2,Reorganized/UniformDiscrete/UniformDist.pg,Uniform Discrete Distribution,1,setCombinatorics/UniformDist.pg
Week2,Reorganized/UniformDiscrete/q4.pg,Uniform Discrete Distribution,0,yuncong_class0/q4.pg
Week2,Reorganized/UniformDiscrete/UniformDist1.pg,Uniform Discrete Distribution,0,setCombinatorics/UniformDist1.pg
Week2,Reorganized/UniformDiscrete/UniformDist2.pg,Uniform Discrete Distribution,0,setCombinatorics/UniformDist2.pg
Week2,Reorganized/UniformDiscrete/UniformDist3.pg,Uniform Discrete Distribution,1,setCombinatorics/UniformDist3.pg
Week2,Reorganized/Combinatorics/coinProblems.pg,Combinatorics,1,setProbability/coinProblems.pg
Week3,Reorganized/Combinatorics/sw10_2_21_PGML.pg,Combinatorics,1,local/Library/ASU-topics/setCount/sw10_2_21_PGML.pg
Week3,Reorganized/Combinatorics/GrinsteadSnell3.2.18.pg,Combinatorics,1,local/setCombinatorics/GrinsteadSnell3.2.18.pg
Week3,Reorganized/Combinatorics/GrinsteadSnell3.2.10.pg,Combinatorics,1,local/setCombinatorics/GrinsteadSnell3.2.10.pg
Week3,Reorganized/Combinatorics/DiscreteProb1.pg,Combinatorics,1,setCombinatorics/DiscreteProb1.pg
Week3,Reorganized/Combinatorics/Cards1.pg,Combinatorics,0,setCombinatorics/Cards1.pg
Week3,Reorganized/Combinatorics/q1.pg,Combinatorics,1,local/yuncong_class0/q1.pg
Week3,Reorganized/Combinatorics/q5.pg,Combinatorics,0,local/yuncong_class0/q5.pg
Week3,Reorganized/Combinatorics/withoutReplacementExplanation.pg,Combinatorics,1,setCombinatorics/withoutReplacementExplanation.pg
Week3,Reorganized/Combinatorics/PigeonHole_PGML_ZZ.pg,Combinatorics,1,local/setCombinatorics/PigeonHole_PGML_ZZ.pg
Week3,Reorganized/Combinatorics/BinomialCoeffExplanation.pg,Combinatorics,1,setCombinatorics/BinomialCoeffExplanation.pg
Week3,Reorganized/Combinatorics/q6.pg,Combinatorics,0,local/yuncong_class0/q6.pg
Week3,Reorganized/StarsAndBars/ChoosingCandies.pg,Stars And Bars,1,setCombinatorics/ChoosingCandies.pg
